epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,3272.14,0.67079,0.33736,0.00957,0.99143,0.99174,0.99492,0.88734,0.59954,0.18284,0.01184,0.000873588,0.000873588,0.000873588
138,3291.23,0.65102,0.34862,0.00912,0.9938,0.99356,0.99488,0.87392,0.61557,0.18285,0.01229,0.000861277,0.000861277,0.000861277
139,3310.19,0.65342,0.33064,0.00925,0.9855,0.99587,0.99473,0.88112,0.6211,0.17871,0.0125,0.000848989,0.000848989,0.000848989
140,3329.34,0.64396,0.34059,0.00908,0.98567,0.99511,0.99471,0.884,0.61153,0.17342,0.01211,0.000836727,0.000836727,0.000836727
141,3347.88,0.65198,0.34105,0.00943,0.9958,0.9786,0.99461,0.87994,0.60774,0.19267,0.0121,0.000824492,0.000824492,0.000824492
142,3366.62,0.64125,0.33876,0.00897,0.98155,0.9892,0.99431,0.8777,0.60921,0.18659,0.01207,0.000812287,0.000812287,0.000812287
143,3385.2,0.64475,0.3383,0.00903,0.98203,0.9876,0.99416,0.87839,0.61011,0.18762,0.01226,0.000800113,0.000800113,0.000800113
144,3403.92,0.62364,0.33026,0.00875,0.98752,0.98102,0.99428,0.88313,0.59518,0.20257,0.01199,0.000787972,0.000787972,0.000787972
145,3422.38,0.63804,0.32526,0.00914,0.98161,0.99277,0.99467,0.88254,0.59833,0.19057,0.01198,0.000775866,0.000775866,0.000775866
146,3441.13,0.63634,0.33845,0.00911,0.97569,0.9814,0.99401,0.88171,0.59246,0.18969,0.01159,0.000763797,0.000763797,0.000763797
147,3459.77,0.63233,0.31679,0.00893,0.98761,0.9938,0.99477,0.88817,0.57665,0.17991,0.01149,0.000751767,0.000751767,0.000751767
148,3478.68,0.63398,0.32384,0.0089,0.98961,0.98432,0.99463,0.88587,0.59999,0.19067,0.01195,0.000739778,0.000739778,0.000739778
149,3497.35,0.61581,0.31714,0.0085,0.9961,0.97727,0.99463,0.88161,0.59175,0.17854,0.01165,0.000727831,0.000727831,0.000727831
150,3516.48,0.63049,0.3259,0.00889,0.99378,0.99014,0.9949,0.8884,0.59493,0.17949,0.01184,0.000715929,0.000715929,0.000715929
151,3535.53,0.6217,0.33426,0.00879,0.99114,0.98554,0.99473,0.89385,0.57374,0.17319,0.01116,0.000704073,0.000704073,0.000704073
152,3554.46,0.62115,0.32633,0.0087,0.99567,0.99174,0.99496,0.89114,0.58664,0.17445,0.01137,0.000692266,0.000692266,0.000692266
153,3573.85,0.60777,0.31093,0.00854,0.9894,0.9938,0.99475,0.89419,0.57802,0.17003,0.01104,0.000680509,0.000680509,0.000680509
154,3592.68,0.61214,0.31971,0.00841,0.99378,0.98988,0.99492,0.88739,0.58476,0.17079,0.01126,0.000668804,0.000668804,0.000668804
155,3615.51,0.60464,0.31889,0.0086,0.99374,0.9846,0.99465,0.89169,0.57489,0.17177,0.01099,0.000657152,0.000657152,0.000657152
156,3641.66,0.58555,0.30213,0.00836,0.99169,0.98573,0.99471,0.89126,0.56579,0.1744,0.01113,0.000645557,0.000645557,0.000645557
157,3667.67,0.58648,0.30038,0.00815,0.9897,0.99228,0.99481,0.88907,0.58584,0.17434,0.01137,0.000634019,0.000634019,0.000634019
158,3693.13,0.59859,0.29786,0.00854,1,0.98409,0.99492,0.89143,0.58103,0.17423,0.0113,0.00062254,0.00062254,0.00062254
159,3718.45,0.5883,0.29376,0.00815,0.98969,0.99137,0.99483,0.89428,0.5755,0.17077,0.01112,0.000611123,0.000611123,0.000611123
160,3744.06,0.59073,0.30858,0.00858,0.99082,0.99174,0.99488,0.89664,0.56995,0.17088,0.01103,0.000599768,0.000599768,0.000599768
161,3769.28,0.59671,0.3052,0.00823,0.99793,0.99694,0.99496,0.89375,0.57704,0.16476,0.01136,0.000588479,0.000588479,0.000588479
162,3794.39,0.58531,0.30723,0.0081,0.98718,0.9938,0.99479,0.89536,0.57323,0.16694,0.01115,0.000577255,0.000577255,0.000577255
163,3819.99,0.59112,0.30305,0.00809,0.99874,0.98554,0.99488,0.88994,0.57424,0.16967,0.01128,0.000566101,0.000566101,0.000566101
164,3845.42,0.57709,0.30733,0.00776,0.98704,0.99793,0.99479,0.89414,0.57659,0.17095,0.01131,0.000555016,0.000555016,0.000555016
165,3871.03,0.58237,0.30616,0.00814,0.98972,0.99475,0.9949,0.8974,0.56511,0.16998,0.01096,0.000544003,0.000544003,0.000544003
166,3896.58,0.57134,0.28958,0.00795,0.99357,0.98967,0.99477,0.89275,0.56088,0.17569,0.01086,0.000533064,0.000533064,0.000533064
